Timestamp,AF3 Value,AF3 Quality,AF4 Value,AF4 Quality,F3 Value,F3 Quality,F4 Value,F4 Quality,F7 Value,F7 Quality,F8 Value,F8 Quality
2016-12-18 17:59:31.780000,-5804,0,-7130,0,-2963,0,-1503,0,-4970,0,-4969,0
2016-12-18 17:59:31.780000,652,0,-3258,0,3642,0,5794,0,-791,0,-3744,0
2016-12-18 17:59:31.786000,7727,0,-877,0,3427,0,5733,0,-621,0,-7540,0
2016-12-18 17:59:31.788000,-2230,0,1531,0,2056,0,6150,0,2951,0,-2378,0
2016-12-18 17:59:31.795000,6469,0,6148,0,5167,0,1727,0,-2233,0,-5463,0
2016-12-18 17:59:31.803000,-5834,0,-2362,0,6567,0,-4480,0,5871,0,2516,0
2016-12-18 17:59:31.805000,-7774,0,-2582,0,6281,0,718,0,-1238,0,2357,0
2016-12-18 17:59:31.810000,-5076,0,8103,0,7095,0,-1241,0,3707,0,-4242,0
2016-12-18 17:59:31.818000,-8041,0,2279,0,388,0,6812,0,796,0,5903,0
2016-12-18 17:59:31.819000,-2183,0,-6348,0,2831,0,-5115,0,1933,0,696,0
2016-12-18 17:59:31.828000,6694,0,3218,0,2566,0,-2695,0,4292,0,-8132,0
2016-12-18 17:59:31.834000,-1489,0,-5683,0,-2397,0,5444,0,-1875,0,-8104,0
2016-12-18 17:59:31.835000,-4313,0,-3187,0,2495,0,-1489,0,124,0,-6137,0
2016-12-18 17:59:31.841000,-3000,0,-7118,0,5358,0,-2460,0,-2770,0,4731,0
2016-12-18 17:59:31.849000,2628,0,-1134,0,-7871,0,675,0,1743,0,7463,0
2016-12-18 17:59:31.852000,-7567,0,-7548,0,-1318,0,-328,0,2820,0,427,0
2016-12-18 17:59:31.858000,1664,0,197,0,3628,0,7679,0,-1677,0,659,0
2016-12-18 17:59:31.866000,6329,0,-7193,0,8137,0,6772,0,-1325,0,-1367,0
2016-12-18 17:59:31.867000,2156,0,1003,0,-5810,0,3320,0,2360,0,-6365,0
2016-12-18 17:59:31.873000,-4255,0,353,0,134,0,-4186,0,6320,0,-5870,0
2016-12-18 17:59:31.881000,-6201,0,6655,0,-5428,0,2788,0,-7715,0,5861,0
2016-12-18 17:59:31.882000,-4821,0,-4115,0,906,0,-5363,0,307,0,5146,0
2016-12-18 17:59:31.890000,-1723,0,4165,0,-457,0,964,0,-7300,0,652,0
2016-12-18 17:59:31.897000,-4885,0,2889,0,416,0,-476,0,1343,0,3356,0
2016-12-18 17:59:31.898000,134,0,-7439,0,-6953,0,-468,0,8190,0,-7221,0
2016-12-18 17:59:31.904000,-312,13390,-5942,0,4327,0,1997,0,1406,0,4577,0
2016-12-18 17:59:31.913000,-1160,13390,6043,0,-3005,0,8128,0,-6579,0,5231,0
2016-12-18 17:59:31.914000,-2274,13390,7412,0,1147,0,7232,0,-2088,0,6614,0
2016-12-18 17:59:31.921000,1800,13390,1731,0,5167,0,3104,0,5812,0,3616,0
2016-12-18 17:59:31.929000,7553,13390,-6449,0,6928,0,5554,0,-740,0,158,0
2016-12-18 17:59:31.930000,-4425,13390,-461,0,-7187,0,1954,0,3997,0,-1900,0
2016-12-18 17:59:31.936000,-6734,13390,5895,0,5648,0,2508,0,-4011,0,5002,0
2016-12-18 17:59:31.944000,-2086,13390,-540,0,2027,0,3341,0,-1755,0,3361,0
2016-12-18 17:59:31.945000,-3908,13390,-3085,0,-5584,0,666,0,3734,0,-6231,0
2016-12-18 17:59:31.953000,-660,13390,3356,0,6648,0,-7602,0,-4163,0,3508,0
2016-12-18 17:59:31.960000,-3219,13390,-2927,0,4707,0,-7769,0,2319,0,-3655,0
2016-12-18 17:59:31.961000,-6616,13390,6211,0,306,0,4443,0,-332,0,2298,0
2016-12-18 17:59:31.967000,1678,13390,-879,0,4119,0,-3219,0,3158,0,-1322,0
2016-12-18 17:59:31.976000,-4487,13390,-3498,0,2118,0,-5024,0,-4749,0,1045,0
2016-12-18 17:59:31.977000,-7156,6946,-8039,0,-6550,0,-536,0,-6647,0,-2029,0
2016-12-18 17:59:31.984000,-570,6946,1828,0,-6463,0,-5706,0,4087,0,1560,0
2016-12-18 17:59:31.991000,-1800,6946,6514,0,-286,0,-5571,0,-6946,0,6233,0
2016-12-18 17:59:31.993000,209,6946,-7252,0,6765,0,3618,0,-322,0,-1837,0
2016-12-18 17:59:31.999000,-4837,6946,3678,0,5776,0,-5449,0,1040,0,1971,0
2016-12-18 17:59:32.007000,-5786,6946,-3163,0,-481,0,-4814,0,2461,0,2113,0
2016-12-18 17:59:32.008000,732,6946,-7191,0,6253,0,3350,0,-8050,0,-6478,0
2016-12-18 17:59:32.016000,-6170,6946,-1627,0,4136,0,3922,0,-2427,0,7775,0
2016-12-18 17:59:32.023000,6929,6946,4746,0,-6507,0,-6394,0,-5650,0,7079,0
2016-12-18 17:59:32.024000,-3614,6946,-1366,0,-1122,0,-1123,0,-6908,0,5379,0
