Timestamp,AF3 Value,AF3 Quality,AF4 Value,AF4 Quality,F3 Value,F3 Quality,F4 Value,F4 Quality,F7 Value,F7 Quality,F8 Value,F8 Quality
2016-12-18 18:10:52.977000,4493,0,358,0,832,0,4518,0,2618,0,2097,0
2016-12-18 18:10:52.979000,-6751,0,2876,0,-5412,0,-7149,0,5791,0,4878,0
2016-12-18 18:10:52.981000,-6751,0,2876,0,-5412,0,-7149,0,5791,0,4878,0
2016-12-18 18:10:52.984000,-1741,0,7801,0,1594,0,4556,0,3835,0,3416,0
2016-12-18 18:10:52.987000,-4467,0,-3367,0,-3880,0,-6734,0,3431,0,1470,0
2016-12-18 18:10:52.990000,6000,0,2399,0,-922,0,-6184,0,-1630,0,2791,0
2016-12-18 18:10:52.993000,-751,0,2532,0,-5396,0,-6648,0,-1955,0,4392,0
2016-12-18 18:10:52.995000,925,0,1151,0,3164,0,166,0,-5351,0,-876,0
2016-12-18 18:10:52.998000,-2499,0,2025,0,7908,0,7465,0,7660,0,5749,0
2016-12-18 18:10:53,3859,0,3704,0,488,0,-1046,0,6212,0,-3703,0
2016-12-18 18:10:53.003000,4028,0,4294,0,-243,0,-4912,0,-7865,0,8121,0
2016-12-18 18:10:53.005000,5476,0,7716,0,-276,0,3121,0,-1171,0,2778,0
2016-12-18 18:10:53.008000,-4039,0,7521,0,-7190,0,-1587,0,5855,0,-3823,0
2016-12-18 18:10:53.011000,-7789,0,-475,0,-3439,0,-3950,0,3091,0,3693,0
2016-12-18 18:10:53.014000,-3250,0,3068,0,2223,0,-6968,0,6552,0,6024,0
2016-12-18 18:10:53.019000,-1177,0,4110,0,5813,0,-5691,0,148,0,-8066,0
2016-12-18 18:10:53.022000,2347,0,7231,0,5113,0,2334,0,-4754,0,-1306,0
2016-12-18 18:10:53.028000,374,0,4898,0,-6078,0,4454,0,-2741,0,-6937,0
2016-12-18 18:10:53.039000,6443,0,-4437,0,-2403,0,445,0,1178,0,6034,0
2016-12-18 18:10:53.043000,-4878,0,5696,0,-7685,0,3411,0,7275,0,5082,0
2016-12-18 18:10:53.045000,-164,0,-5818,0,-198,0,696,0,-6340,0,-5740,0
2016-12-18 18:10:53.047000,2277,0,-7017,0,707,0,-68,0,-4098,0,5099,0
2016-12-18 18:10:53.051000,-1927,0,-5297,9683,-4196,0,-7666,0,3678,0,-4964,0
2016-12-18 18:10:53.054000,-730,0,-7388,9683,-7483,0,7273,0,-2942,0,7600,0
2016-12-18 18:10:53.058000,-3604,0,-8073,9683,8101,0,-5801,0,7781,0,-4760,0
2016-12-18 18:10:53.066000,5180,0,-3354,12033,2037,0,-5215,0,458,0,-7930,0
2016-12-18 18:10:53.067000,-2434,0,-6957,12033,-1091,0,6317,0,7089,0,-6569,0
2016-12-18 18:10:53.074000,-5691,0,-7029,12033,-2186,0,-1365,0,-8061,0,-3359,0
2016-12-18 18:10:53.081000,4284,0,-922,12033,3257,0,5953,0,4900,0,-7198,8186
2016-12-18 18:10:53.084000,7253,0,1260,12033,-7278,0,-3651,0,7630,0,2094,8186
2016-12-18 18:10:53.089000,3393,0,-8037,12033,-7720,0,8108,0,7014,0,-4543,8186
2016-12-18 18:10:53.110000,-6243,0,-2105,12033,-3215,0,6694,0,-2740,0,1581,8186
2016-12-18 18:10:53.113000,1431,0,2079,12033,7785,0,7689,0,-5109,0,2844,8186
2016-12-18 18:10:53.115000,6875,0,1997,12033,-2379,0,2359,0,-945,0,-2,8186
